dato,aktiekurs
20/01/2005,1518.727
21/01/2005,1505.245
24/01/2005,1472.501
25/01/2005,1478.279
26/01/2005,1507.171
27/01/2005,1511.986
28/01/2005,1492.725
31/01/2005,1515.838
01/02/2005,1539.914
02/02/2005,1566.879
03/02/2005,1539.914
04/02/2005,1565.916
07/02/2005,1574.583
08/02/2005,1571.694
09/02/2005,1511.986
10/02/2005,1529.321
11/02/2005,1532.21
14/02/2005,1560.138
15/02/2005,1540.877
16/02/2005,1514.875
17/02/2005,1498.503
18/02/2005,1492.725
22/02/2005,1472.501
23/02/2005,1485.021
24/02/2005,1502.355
25/02/2005,1501.392
28/02/2005,1508.134
01/03/2005,1505.245
02/03/2005,1500.429
03/03/2005,1463.833
04/03/2005,1455.166
07/03/2005,1483.094
08/03/2005,1479.242
09/03/2005,1472.501
10/03/2005,1485.021
11/03/2005,1474.427
14/03/2005,1495.67
15/03/2005,1480.22
16/03/2005,1472.496
17/03/2005,1463.806
18/03/2005,1449.322
21/03/2005,1439.667
22/03/2005,1447.391
23/03/2005,1443.529
24/03/2005,1442.563
28/03/2005,1438.701
29/03/2005,1421.321
30/03/2005,1443.529
31/03/2005,1445.46
01/04/2005,1437.735
04/04/2005,1435.804
05/04/2005,1451.253
06/04/2005,1442.563
07/04/2005,1477.324
08/04/2005,1467.668
11/04/2005,1458.978
12/04/2005,1475.393
13/04/2005,1475.393
14/04/2005,1455.116
15/04/2005,1424.217
18/04/2005,1410.699
19/04/2005,1421.321
20/04/2005,1441.598
21/04/2005,1538.155
22/04/2005,1523.671
25/04/2005,1522.706
26/04/2005,1535.258
27/04/2005,1515.947
28/04/2005,1484.083
29/04/2005,1481.186
02/05/2005,1493.739
03/05/2005,1503.394
04/05/2005,1515.947
05/05/2005,1516.912
06/05/2005,1514.981
09/05/2005,1522.706
10/05/2005,1524.637
11/05/2005,1525.602
12/05/2005,1527.533
13/05/2005,1565.19
16/05/2005,1568.087
17/05/2005,1585.468
18/05/2005,1631.815
19/05/2005,1671.403
20/05/2005,1665.61
23/05/2005,1682.025
24/05/2005,1677.197
25/05/2005,1657.885
26/05/2005,1685.886
27/05/2005,1674.3
31/05/2005,1677.197
01/06/2005,1688.783
02/06/2005,1716.785
03/06/2005,1712.922
06/06/2005,1730.303
07/06/2005,1750.58
08/06/2005,1746.718
09/06/2005,1760.236
10/06/2005,1743.821
13/06/2005,1756.373
14/06/2005,1761.212
15/06/2005,1751.534
16/06/2005,1755.406
17/06/2005,1762.179
20/06/2005,1757.341
21/06/2005,1763.146
22/06/2005,1819.273
23/06/2005,1826.048
24/06/2005,1795.081
27/06/2005,1760.243
28/06/2005,1775.727
29/06/2005,1793.146
30/06/2005,1767.018
01/07/2005,1767.985
05/07/2005,1791.21
06/07/2005,1790.243
07/07/2005,1801.855
08/07/2005,1794.114
11/07/2005,1829.918
12/07/2005,1864.755
13/07/2005,1882.175
14/07/2005,1866.691
15/07/2005,1887.013
18/07/2005,1883.142
19/07/2005,1920.882
20/07/2005,1928.624
