DATE;CLOSING;RETURN;;
07-02-2006;5607,68;6885,95;;
08-02-2006;5628,55;6916,05;;
09-02-2006;5649,37;6941,63;;
10-02-2006;5636,31;6925,58;;
13-02-2006;5616,3;6901;;
14-02-2006;5665,57;6961,53;;
15-02-2006;5626,58;6915,6;;
16-02-2006;5679,44;6980,97;;
17-02-2006;5688,55;6992,36;;
21-02-2006;5681,63;6984,31;;
22-02-2006;5700,23;7012,29;;
23-02-2006;5697,54;7008,99;;
24-02-2006;5713,17;7028,22;;
27-02-2006;5715,59;7031,19;;
28-02-2006;5668,11;6975,41;;
01-03-2006;5721,16;7045,65;;
02-03-2006;5722,07;7046,77;;
03-03-2006;5720,84;7045,26;;
06-03-2006;5696,44;7015,21;;
07-03-2006;5641,11;6947,07;;
08-03-2006;5646,97;6958,44;;
09-03-2006;5647,1;6958,6;;
10-03-2006;5714,93;7042,2;;
13-03-2006;5758,6;7096,46;;
14-03-2006;5826,61;7180,66;;
15-03-2006;5850,68;7210,37;;
16-03-2006;5864,08;7226,88;;
17-03-2006;5865,43;7228,55;;
20-03-2006;5862,29;7224,72;;
21-03-2006;5816,5;7168,29;;
22-03-2006;5857,48;7224,46;;
23-03-2006;5805,84;7160,77;;
24-03-2006;5843,24;7207,18;;
27-03-2006;5809,9;7166,06;;
28-03-2006;5757,99;7104,59;;
29-03-2006;5827,24;7190,57;;
30-03-2006;5902,41;7283,32;;
31-03-2006;5849,67;7221,22;;
03-04-2006;5904,2;7288,53;;
04-04-2006;5952,68;7348,78;;
05-04-2006;6000,55;7408,8;;
06-04-2006;6001,29;7409,71;;
07-04-2006;5935,29;7328,23;;
10-04-2006;5962,27;7362,34;;
11-04-2006;5916,64;7306;;
12-04-2006;5906,58;7293,58;;
13-04-2006;5915,9;7307,75;;
17-04-2006;5957,81;7359,52;;
18-04-2006;6066,94;7494,33;;
19-04-2006;6117,15;7556,35;;
20-04-2006;6092,82;7528,57;;
21-04-2006;6155,1;7606,11;;
24-04-2006;6142,67;7594,19;;
25-04-2006;6129,26;7577,89;;
26-04-2006;6147,82;7606,91;;
27-04-2006;6168,41;7632,38;;
28-04-2006;6179,35;7647,39;;
01-05-2006;6184,53;7659,17;;
02-05-2006;6271,11;7774,35;;
03-05-2006;6215,83;7706,15;;
04-05-2006;6249,52;7747,93;;
05-05-2006;6337,46;7860,49;;
08-05-2006;6318;7837,33;;
09-05-2006;6355,46;7887,5;;
10-05-2006;6331,4;7867,8;;
11-05-2006;6248,05;7764,43;;
12-05-2006;6159,82;7655,13;;
15-05-2006;6095,72;7578,35;;
16-05-2006;6128,16;7619,84;;
17-05-2006;5929,57;7376,28;;
18-05-2006;5909,23;7350,97;;
19-05-2006;5931,85;7379,11;;
22-05-2006;5828,97;7252,16;;
23-05-2006;5857,87;7288,11;;
24-05-2006;5809,45;7227,87;;
25-05-2006;5926,79;7373,87;;
26-05-2006;5965,13;7421,57;;
30-05-2006;5862,86;7294,33;;
31-05-2006;5919,45;7364,78;;
01-06-2006;5961,14;7416,66;;
02-06-2006;5997,57;7467,33;;
05-06-2006;5871,83;7312,73;;
06-06-2006;5815,55;7242,63;;
07-06-2006;5761,32;7182,59;;
08-06-2006;5665,81;7063,51;;
09-06-2006;5645,5;7038,19;;
12-06-2006;5571,02;6945,34;;
13-06-2006;5429,51;6769,82;;
14-06-2006;5503,69;6862,36;;
15-06-2006;5661,67;7059,34;;
16-06-2006;5609,42;6994,2;;
19-06-2006;5554,7;6930,26;;
20-06-2006;5584,95;6969,69;;
21-06-2006;5666,36;7071,28;;
22-06-2006;5642,79;7041,87;;
23-06-2006;5633,81;7030,65;;
26-06-2006;5665,26;7070,21;;
27-06-2006;5587,68;6974,04;;
28-06-2006;5627,8;7027,61;;
29-06-2006;5825,21;7275,09;;
30-06-2006;5881,93;7345,92;;
03-07-2006;5943,44;7422,74;;
05-07-2006;5856,92;7315,71;;
06-07-2006;5900,2;7369,77;;
07-07-2006;5889,32;7356,18;;
10-07-2006;5906,34;7377,44;;
11-07-2006;5931,51;7408,88;;
12-07-2006;5834,68;7287,93;;
13-07-2006;5731,64;7159,23;;
14-07-2006;5695,52;7114,11;;
17-07-2006;5615,51;7014,18;;
18-07-2006;5604,7;7000,98;;
19-07-2006;5752,5;7185,6;;
20-07-2006;5713,15;7136,44;;
21-07-2006;5705,43;7127,04;;
24-07-2006;5822,64;7274,05;;
25-07-2006;5836,74;7291,67;;
26-07-2006;5867,79;7330,46;;
27-07-2006;5886,03;7354,27;;
28-07-2006;5988,77;7482,64;;
31-07-2006;5962,92;7450,34;;
01-08-2006;5922,63;7400;;
02-08-2006;5961,56;7453,95;;
03-08-2006;5948,23;7438,68;;
04-08-2006;5980,7;7479,29;;
07-08-2006;5940,44;7428,94;;
08-08-2006;5926,51;7411,52;;
09-08-2006;5962,34;7463,22;;
10-08-2006;5947,09;7444,14;;
11-08-2006;5895,81;7381,49;;
14-08-2006;5911,92;7402,49;;
15-08-2006;6034,46;7555,92;;
16-08-2006;6078,73;7617,84;;
17-08-2006;6058,96;7593,07;;
18-08-2006;6075,83;7614,21;;
21-08-2006;6074,85;7613,2;;
22-08-2006;6059,63;7594,52;;
23-08-2006;6030,3;7557,75;;
24-08-2006;6022,95;7548,55;;
25-08-2006;6012,52;7535,47;;
28-08-2006;6047,61;7579,45;;
29-08-2006;6069,26;7606,58;;
30-08-2006;6079,85;7620,45;;
31-08-2006;6066,73;7604,01;;
01-09-2006;6101,09;7647,08;;
05-09-2006;6112,71;7661,64;;
06-09-2006;5999,69;7522,01;;
07-09-2006;5934,19;7439,88;;
08-09-2006;5914,58;7415,29;;
11-09-2006;5869,57;7359,19;;
12-09-2006;5939,43;7447,22;;
13-09-2006;5955,57;7469,45;;
14-09-2006;5932,09;7440;;
